[2013-11-09 21:51:07] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:51:26] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:51:50] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:52:33] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:53:19] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:53:32] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:53:40] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:54:05] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:56:14] EDIT BookSharing/controllers/default.py: 3
[2013-11-09 21:56:31] EDIT BookSharing/views/default/home.html: 0
[2013-11-09 21:57:46] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:58:20] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 21:59:07] EDIT BookSharing/views/default/home.html: 1
[2013-11-09 22:00:30] EDIT BookSharing/controllers/default.py: 1
[2013-11-09 22:01:03] EDIT BookSharing/views/default/home.html: 0
[2013-11-09 22:01:40] EDIT BookSharing/views/default/home.html: 0
[2013-11-09 22:02:01] EDIT BookSharing/views/default/home.html: 0
[2013-11-09 22:06:25] EDIT BookSharing/controllers/default.py: 5
[2013-11-09 22:06:43] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 22:07:01] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 22:08:22] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 22:08:40] EDIT BookSharing/controllers/default.py: 5
[2013-11-09 22:10:15] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 22:31:21] EDIT BookSharing/controllers/default.py: -1
[2013-11-09 22:32:23] EDIT BookSharing/views/default/home.html: 0
[2013-11-09 22:34:23] EDIT BookSharing/views/default/home.html: 0
[2013-11-09 22:36:03] EDIT BookSharing/views/default/register.html: 1
[2013-11-09 22:36:43] EDIT BookSharing/views/default/home.html: 0
[2013-11-09 22:37:23] EDIT BookSharing/controllers/default.py: 2
